,favorite_count,followers_count,retweet_count,tweet_id
2200,1106,3769008,522,668636665813057536
2201,3011,3769008,1776,668633411083464705
2202,754,3769008,346,668631377374486528
2203,337,3769008,123,668627278264475648
2204,417,3769008,140,668625577880875008
2205,1540,3769008,846,668623201287675904
2206,209,3769008,45,668620235289837568
2207,649,3769008,340,668614819948453888
2208,1753,3769008,1170,668587383441514497
2209,262,3769008,62,668567822092664832
2210,554,3769008,248,668544745690562560
2211,492,3769009,231,668542336805281792
2212,265,3769009,79,668537837512433665
2213,493,3769010,242,668528771708952576
2214,343,3769010,115,668507509523615744
2215,435,3769012,145,668496999348633600
2216,451,3769012,250,668484198282485761
2217,490,3769013,162,668480044826800133
2218,937,3769013,556,668466899341221888
2219,653,3769012,318,668297328638447616
2220,262,3769013,34,668291999406125056
2221,532,3769013,149,668286279830867968
2222,881,3769013,248,668274247790391296
2223,590,3769013,258,668268907921326080
2224,1382,3769013,665,668256321989451776
2225,1053,3769013,523,668248472370458624
2226,6573,3769014,3083,668237644992782336
2227,322,3769013,115,668226093875376128
2228,534,3769013,214,668221241640230912
2229,586,3769013,206,668204964695683073
2230,690,3769013,208,668190681446379520
2231,523,3769013,207,668171859951755264
2232,520,3769014,335,668154635664932864
2233,592,3769015,305,668142349051129856
2234,707,3769015,264,668113020489474048
2235,1351,3769015,862,667937095915278337
2236,317,3769015,119,667924896115245057
2237,220,3769015,59,667915453470232577
2238,522,3769015,328,667911425562669056
2239,896,3769015,395,667902449697558528
2240,2005,3769016,1174,667886921285246976
2241,860,3769017,524,667885044254572545
2242,409,3769017,127,667878741721415682
2243,663,3769017,438,667873844930215936
2244,3155,3769017,1103,667866724293877760
2245,253,3769017,86,667861340749471744
2246,302,3769018,68,667832474953625600
2247,1105,3769018,532,667806454573760512
2248,346,3769019,101,667801013445750784
2249,732,3769019,356,667793409583771648
2250,432,3769020,259,667782464991965184
2251,243,3769020,61,667773195014021121
2252,474,3769021,238,667766675769573376
2253,395,3769021,162,667728196545200128
2254,517,3769021,340,667724302356258817
2255,185,3769021,37,667550904950915073
2256,187,3769022,34,667550882905632768
2257,6102,3769022,2447,667549055577362432
2258,350,3769022,137,667546741521195010
2259,914,3769022,565,667544320556335104
2260,218,3769022,72,667538891197542400
2261,863,3769022,572,667534815156183040
2262,499,3769022,261,667530908589760512
2263,1792,3769022,1191,667524857454854144
2264,389,3769022,203,667517642048163840
2265,7118,3769022,2265,667509364010450944
2266,562,3769022,230,667502640335572993
2267,561,3769022,294,667495797102141441
2268,558,3769022,237,667491009379606528
2269,272,3769022,102,667470559035432960
2270,202,3769022,66,667455448082227200
2271,326,3769022,96,667453023279554560
2272,829,3769023,618,667443425659232256
2273,480,3769023,257,667437278097252352
2274,324,3769024,88,667435689202614272
2275,488,3769025,232,667405339315146752
2276,210,3769025,60,667393430834667520
2277,387,3769025,172,667369227918143488
2278,515,3769025,258,667211855547486208
2279,655,3769025,280,667200525029539841
2280,412,3769025,115,667192066997374976
2281,783,3769025,447,667188689915760640
2282,15028,3769025,6589,667182792070062081
2283,200,3769025,58,667177989038297088
2284,637,3769025,483,667176164155375616
2285,261,3769025,87,667174963120574464
2286,233,3769025,99,667171260800061440
2287,2807,3769025,1234,667165590075940865
2288,267,3769025,66,667160273090932737
2289,49523,3769025,18176,667152164079423490
2290,4827,3769025,2372,667138269671505920
2291,345,3769025,135,667119796878725120
2292,346,3769025,131,667090893657276420
2293,422,3769024,132,667073648344346624
2294,87,3769024,14,667070482143944705
2295,173,3769025,50,667065535570550784
2296,225,3769025,57,667062181243039745
2297,197,3769025,54,667044094246576128
2298,469,3769025,237,667012601033924608
2299,257,3769025,101,666996132027977728
2300,2665,3769025,1037,666983947667116034
2301,853,3769025,581,666837028449972224
2302,221,3769025,83,666835007768551424
2303,264,3769025,104,666826780179869698
2304,537,3769025,266,666817836334096384
2305,249,3769025,95,666804364988780544
2306,796,3769025,520,666786068205871104
2307,402,3769026,209,666781792255496192
2308,365,3769027,185,666776908487630848
2309,242,3769027,70,666739327293083650
2310,447,3769027,229,666701168228331520
2311,195,3769027,51,666691418707132416
2312,919,3769027,606,666649482315059201
2313,237,3769027,88,666644823164719104
2314,542,3769027,219,666454714377183233
2315,107,3769027,23,666447344410484738
2316,131,3769027,52,666437273139982337
2317,171,3769029,54,666435652385423360
2318,329,3769029,203,666430724426358785
2319,171,3769029,90,666428276349472768
2320,325,3769029,118,666421158376562688
2321,129,3769029,48,666418789513326592
2322,457,3769029,337,666411507551481857
2323,113,3769029,43,666407126856765440
2324,171,3769029,91,666396247373291520
2325,194,3769029,99,666373753744588802
2326,801,3769028,590,666362758909284353
2327,228,3769030,76,666353288456101888
2328,308,3769030,146,666345417576210432
2329,203,3769029,96,666337882303524864
2330,519,3769029,365,666293911632134144
2331,152,3769030,71,666287406224695296
2332,183,3769030,81,666273097616637952
2333,108,3769030,37,666268910803644416
2334,14703,3769030,6835,666104133288665088
2335,81,3769030,15,666102155909144576
2336,160,3769030,73,666099513787052032
2337,168,3769030,78,666094000022159362
2338,121,3769030,47,666082916733198337
2339,334,3769030,173,666073100786774016
2340,154,3769030,67,666071193221509120
2341,494,3769031,230,666063827256086533
2342,117,3769031,61,666058600524156928
2343,304,3769031,146,666057090499244032
2344,449,3769034,261,666055525042405380
2345,1250,3769034,877,666051853826850816
2346,136,3769034,60,666050758794694657
2347,111,3769034,41,666049248165822465
2348,309,3769034,147,666044226329800704
2349,128,3769034,47,666033412701032449
2350,132,3769034,48,666029285002620928
2351,2528,3769035,530,666020888022790149
